ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res
AN,Andaman & Nicobar Islands,U01,1,GEN
AP,Zahirabad,S01,5,GEN
AP,Araku,S01,18,ST
AP,Khammam,S01,17,GEN
AP,Medak,S01,6,GEN
AP,Anakapalli,S01,22,GEN
AP,Bhongir,S01,14,GEN
AP,Chevella,S01,10,GEN
AP,Srikakulam,S01,19,GEN
AP,Eluru,S01,27,GEN
AP,Secunderabad,S01,8,GEN
AP,Peddapalle,S01,2,SC
AP,Rajahmundry,S01,25,GEN
AP,Nalgonda,S01,13,GEN
AP,Narsapuram,S01,26,GEN
AP,Nagarkurnool,S01,12,SC
AP,Amlapuram,S01,24,SC
AP,Narasaraopet,S01,31,GEN
AP,Machilipatnam,S01,28,GEN
AP,Guntur,S01,30,GEN
AP,Ongole,S01,33,GEN
AP,Bapatla,S01,32,SC
AP,Kurnool,S01,35,GEN
AP,Karimnagar,S01,3,GEN
AP,Nizamabad,S01,4,GEN
AP,Vizianagaram,S01,20,GEN
AP,Kakinada,S01,23,GEN
AP,Adilabad,S01,1,ST
AP,Rajampet,S01,41,GEN
AP,Nellore,S01,39,GEN
AP,Anantapur,S01,36,GEN
AP,Kadapa,S01,38,GEN
AP,Nandyal,S01,34,GEN
AP,Mahabubabad,S01,16,ST
AP,Chittoor,S01,42,SC
AP,Tirupati,S01,40,SC
AP,Hindupur,S01,37,GEN
AP,Mahbubnagar,S01,11,GEN
AP,Vijayawada,S01,29,GEN
AP,Visakhapatnam,S01,21,GEN
AP,Warangal,S01,15,SC
AP,Hyderabad,S01,9,GEN
AP,Malkajgiri,S01,7,GEN
AR,Arunachal West,S02,1,GEN
AR,Arunachal East,S02,2,GEN
AS,Lakhimpur,S03,14,GEN
AS,Dibrugarh,S03,13,GEN
AS,Jorhat,S03,12,GEN
AS,Tezpur,S03,9,GEN
AS,Kaliabor,S03,11,GEN
AS,Mangaldoi,S03,8,GEN
AS,Nagaon,S03,10,GEN
AS,Autonomous District,S03,3,ST
AS,Dhubri,S03,4,GEN
AS,Karimganj,S03,1,SC
AS,Silchar,S03,2,GEN
AS,Kokrajhar,S03,5,ST
AS,Guwahati,S03,7,GEN
AS,Barpeta,S03,6,GEN
BR,Muzaffarpur,S04,15,GEN
BR,Valmiki Nagar,S04,1,GEN
BR,Araria,S04,9,GEN
BR,Gopalganj,S04,17,SC
BR,Siwan,S04,18,GEN
BR,Vaishali,S04,16,GEN
BR,Jhanjharpur,S04,7,GEN
BR,Supaul,S04,8,GEN
BR,Pashchim Champaran,S04,2,GEN
BR,Madhubani,S04,6,GEN
BR,Kishanganj,S04,10,GEN
BR,Darbhanga,S04,14,GEN
BR,Purnia,S04,12,GEN
BR,Maharajganj,S04,19,GEN
BR,Madhepura,S04,13,GEN
BR,Begusarai,S04,24,GEN
BR,Arrah,S04,32,GEN
BR,Sasaram,S04,34,SC
BR,Nawada,S04,39,GEN
BR,Banka,S04,27,GEN
BR,Nalanda,S04,29,GEN
BR,Katihar,S04,11,GEN
BR,Samastipur,S04,23,SC
BR,Khagaria,S04,25,GEN
BR,Pataliputra,S04,31,GEN
BR,Buxar,S04,33,GEN
BR,Patna Sahib,S04,30,GEN
BR,Bhagalpur,S04,26,GEN
BR,Munger,S04,28,GEN
BR,Purba Champaran,S04,3,GEN
BR,Sheohar,S04,4,GEN
BR,Sitamarhi,S04,5,GEN
BR,Ujiapur,S04,22,GEN
BR,Hajipur,S04,21,SC
BR,Karakat,S04,35,GEN
BR,Saran (Chhapra),S04,20,GEN
BR,Jamui,S04,40,SC
BR,Aurangabad,S04,37,GEN
BR,Gaya,S04,38,SC
BR,Jahanabad,S04,36,GEN
CG,Janjgir-Champa,S26,3,SC
CG,Raipur,S26,8,GEN
CG,Surguja,S26,1,ST
CG,Bilaspur,S26,5,GEN
CG,Rajnandgaon,S26,6,GEN
CG,Durg,S26,7,GEN
CG,Mahasamund,S26,9,GEN
CG,Raigarh,S26,2,ST
CG,Kanker,S26,11,ST
CG,Bastar,S26,10,ST
CG,Korba,S26,4,GEN
CH,Chandigarh,U02,1,GEN
DD,Daman & Diu,U04,1,GEN
DL,West Delhi,U05,6,GEN
DL,North West Delhi,U05,5,SC
DL,Chandni Chowk,U05,1,GEN
DL,North East Delhi,U05,2,GEN
DL,South Delhi,U05,7,GEN
DL,East Delhi,U05,3,GEN
DL,New Delhi,U05,4,GEN
DN,Dadra & Nagar Haveli,U03,1,ST
GA,South Goa,S05,2,GEN
GA,North Goa,S05,1,GEN
GJ,Bardoli,S06,23,ST
