State,PC No.,PC Name,PC Type,Winner Candidates,winner Party,Votesw,Runner-Up,Party,Votesr
Andaman & Nicobar,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,BJP,90969,Kuldeep Rai Sharma,INC,83157
Andhra Pradesh,7,Amlapuram,(SC),Dr Pandula Ravindra Babu,TDP,594547,Pinipe Viswarupu,YSRC,473971
Andhra Pradesh,5,Anakapalli,GEN,Muttamsetti Srinivasa Rao (Avanthi),TDP,568463,Gudivada Amarnadh,YSRC,520531
Andhra Pradesh,19,Anantapur,GEN,J.C. Divakar Reddi,TDP,606509,Anantha Venkataramireddy,YSRC,545240
Andhra Pradesh,1,Araku,(ST),Kothapalli Geetha,YSRC,413191,Gummidi Sandhyarani,TDP,321793
Andhra Pradesh,15,Bapatla,(SC),Malyadri Sriram,TDP,578145,Varikuti Amruthapani,YSRC,545391
Andhra Pradesh,25,Chittoor,(SC),Naramalli Sivaprasad,TDP,594862,G.Samanyakiran,YSRC,550724
Andhra Pradesh,10,Eluru,GEN,Maganti Venkateswara Rao (Babu),TDP,623471,Thota Chandra Sekhar,YSRC,521545
Andhra Pradesh,13,Guntur,GEN,Jayadev Galla,TDP,618417,Balashowry Vallabhaneni,YSRC,549306
Andhra Pradesh,20,Hindupur,GEN,Kristappa Nimmala,TDP,604291,Duddukunta Sreedhar Reddy,YSRC,506966
Andhra Pradesh,21,Kadapa,GEN,Y.S. Avinash Reddy,YSRC,671983,Srinivasa Reddy Reddeppagari,TDP,481660
Andhra Pradesh,6,Kakinada,GEN,Thota Narasimham,TDP,514402,Chalamalasetty Sunil,YSRC,510971
Andhra Pradesh,18,Kurnool,GEN,Butta Renuka,YSRC,472782,B.T. Naidu,TDP,428651
Andhra Pradesh,11,Machilipatnam,GEN,Konakalla Narayana Rao,TDP,587280,Kolusu Partha Sarathy,YSRC,506223
Andhra Pradesh,17,Nandyal,GEN,S.P.Y Reddy,YSRC,622411,N.Md.Farook,TDP,516645
Andhra Pradesh,14,Narasaraopet,GEN,Sambasiva Rao Rayapati,TDP,632464,Ayodhya Ramireddy Alla,YSRC,597184
Andhra Pradesh,9,Narsapuram,GEN,Gokaraju Ganga Raju,BJP,540306,Vanka Ravindranath,YSRC,454955
Andhra Pradesh,22,Nellore,GEN,Mekapati Rajamohan Reddy,YSRC,576396,Adala Prabhakara Reddy,TDP,562918
Andhra Pradesh,16,Ongole,GEN,Y.V.Subba Reddy,YSRC,589960,Magunta Sreenivasulu Reddy,TDP,574302
Andhra Pradesh,8,Rajahmundry,GEN,Murali Mohan Maganti,TDP,630573,Boddu Venkataramana Chowdary,YSRC,463139
Andhra Pradesh,24,Rajampet,GEN,P.V.Midhun Reddy,YSRC,601752,D. Purandeswari,BJP,426990
Andhra Pradesh,2,Srikakulam,GEN,Rammohan Naidu Kinjarapu,TDP,556163,Reddy Shanthi,YSRC,428591
Andhra Pradesh,23,Tirupati,(SC),Varaprasad Rao Velagapalli,YSRC,580376,Karumanchi Jayaram,BJP,542951
Andhra Pradesh,12,Vijayawada,GEN,Kesineni Srinivas,TDP,592696,Koneru Rajendra Prasad,YSRC,517834
Andhra Pradesh,4,Visakhapatnam,GEN,Kambhampati Hari Babu,BJP,566832,Y.S Vijayamma,YSRC,476344
Andhra Pradesh,3,Vizianagaram,GEN,Ashok Gajapathi Raju Pusapati,TDP,536549,Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,YSRC,429638
Arunachal Pradesh,2,Arunachal East,(ST),Ninong Ering,INC,118455,Tapir Gao,BJP,105977
Arunachal Pradesh,1,Arunachal West,(ST),Kiren Rijiju,BJP,169367,Takam Sanjoy,INC,127629
Assam,3,Autonomous District,(ST),Biren Singh Engti,INC,213152,Joy Ram Engleng,BJP,189057
Assam,6,Barpeta,GEN,Siraj Uddin Ajmal,AUDF,394702,Chandra Mohan Patowary,BJP,352361
Assam,4,Dhubri,GEN,Badruddin Ajmal,AUDF,592569,Wazed Ali Choudhury,INC,362839
Assam,13,Dibrugarh,(ST),Rameswar Teli,BJP,494364,Paban Singh Ghatowar,INC,309017
Assam,7,Guwahati,GEN,Smt. Bijoya Chakraborty,BJP,764985,Manash Borah,INC,449201
Assam,12,Jorhat,GEN,Kamakhya Prasad Tasa,BJP,456420,Bijoy Krishna Handique,INC,354000
Assam,11,Kaliabor,GEN,Gourav Gogoi,INC,443315,Mrinal Kumar Saikia,BJP,349441
Assam,1,Karimganj,(SC),Radheshyam Biswas,AUDF,362866,Krishna Das,BJP,260772
Assam,5,Kokrajhar,(ST),Naba Kumar Sarania (Hira),IND,634428,Urkhao Gwra Brahma,IND,278649
Assam,14,Lakhimpur,GEN,Sarbananda Sonowal,BJP,612543,Ranee Narah,INC,320405
Assam,8,Mangaldoi,GEN,Ramen Deka,BJP,486357,Kirip Chaliha,INC,463473
Assam,10,Nagaon,GEN,Rajen Gohain,BJP,494146,Jonjonali Baruah,INC,350587
Assam,2,Silchar,GEN,Sushmita Dev,INC,336451,Kabindra Purkayastha,BJP,301210
Assam,9,Tezpur,GEN,Ram Prasad Sarmah,BJP,446511,Bhupen Kumar Borah,INC,360491
Bihar,9,Araria,GEN,Tasleem Uddin,RJD,407978,Pradeep Kumar Singh,BJP,261474
Bihar,32,Arrah,GEN,Raj Kumar Singh,BJP,391074,Sribhagwan Singh Kushwaha,RJD,255204
Bihar,37,Aurangabad,GEN,Sushil Kumar Singh,BJP,307941,Nikhil Kumar,INC,241594
Bihar,27,Banka,GEN,Jai Prakash Narayan Yadav,RJD,285150,Putul Kumari,BJP,275006
Bihar,24,Begusarai,GEN,Bhola Singh,BJP,428227,Md. Tanveer Hassan,RJD,369892
Bihar,26,Bhagalpur,GEN,Shailesh Kumar Urph Bulo Mandal,RJD,367623,Syed Shahnawaz Hussain,BJP,358138
Bihar,33,Buxar,GEN,Ashwini Kumar Choubey,BJP,319012,Jagadanand Singh,RJD,186674
Bihar,14,Darbhanga,GEN,Kirti Azad,BJP,314949,Md. Ali Ashraf Fatmi,RJD,279906
Bihar,38,Gaya,(SC),Hari Manjhi,BJP,326230,Ramji Manjhi,RJD,210726
Bihar,17,Gopalganj,(SC),Janak Ram,BJP,478773,Dr. Jyoti Bharti,INC,191837
Bihar,21,Hajipur,(SC),Ramvilas Paswan,LJP,455652,Sanjeev Prasad Toni,INC,230152
Bihar,36,Jahanabad,GEN,Dr. Arun Kumar,RLSP,322647,Surendra Prasad Yadav,RJD,280307
Bihar,40,Jamui,(SC),Chirag Kumar Paswan,LJP,285354,Sudhansu Shekhar Bhaskar,RJD,199407
Bihar,7,Jhanjharpur,GEN,Birendra Kumar Chaudhary,BJP,335481,Mangani Lal Mandal,RJD,280073
Bihar,35,Karakat,GEN,Upendra Kushwaha,RLSP,338892,Kanti Singh,RJD,233651
Bihar,11,Katihar,GEN,Tariq Anwar,NCP,431292,Nikhil Kumar Choudhary,BJP,316552
Bihar,25,Khagaria,GEN,Choudhary Mahboob Ali Kaiser,LJP,313806,Krishna Kumari Yadav,RJD,237803
Bihar,10,Kishanganj,GEN,Mohammad Asrarul Haque,INC,493461,Dr Dilip Kumar Jaiswal,BJP,298849
Bihar,13,Madhepura,GEN,Rajesh Ranjan (Pappu Yadav),RJD,368937,Sharad Yadav,JD(U),312728
Bihar,6,Madhubani,GEN,Hukm Deo Narayan Yadav,BJP,358040,Abdul Bari Siddiqui,RJD,337505
Bihar,19,Maharajganj,GEN,Janardan Singh (Sigriwal),BJP,320753,Prabhu Nath Singh,RJD,282338
Bihar,28,Munger,GEN,Veena Devi,LJP,352911,Rajiv Ranjan Singh Alias Lalan Singh,JD(U),243827
Bihar,15,Muzaffarpur,GEN,Ajay Nishad,BJP,469295,Akhilesh Prasad Singh,INC,246873
Bihar,29,Nalanda,GEN,Kaushlendra Kumar,JD(U),321982,Satya Nand Sharma,LJP,312355
Bihar,39,Nawada,GEN,Giriraj Singh,BJP,390248,Raj Ballabh Prasad,RJD,250091
Bihar,2,Pashchim Champaran,GEN,Dr. Sanjay Jaiswal,BJP,371232,Prakash Jha,JD(U),260978
Bihar,31,Pataliputra,GEN,Ram Kripal Yadav,BJP,383262,Misha Bharti,RJD,342940
Bihar,30,Patna Sahib,GEN,Shatrughana Sinha,BJP,485905,Kunal Singh,INC,220100
Bihar,3,Purba Champaran,GEN,Radha Mohan Singh,BJP,400452,Binod Kumar Srivastava,RJD,208289
Bihar,12,Purnia,GEN,Santosh Kumar,JD(U),418826,Uday Singh Alias Pappu Singh,BJP,302157
Bihar,23,Samastipur,(SC),Ram Chandra Paswan,LJP,270401,Dr. Ashok Kumar,INC,263529
Bihar,20,Saran (chhapra),GEN,Rajiv Pratap Rudy,BJP,355120,Rabri Devi,RJD,314172
Bihar,34,Sasaram,(SC),Chhedi Paswan,BJP,366087,Meira Kumar,INC,302760
Bihar,4,Sheohar,GEN,Rama Devi,BJP,372506,Md Anwarul Haque,RJD,236267
Bihar,5,Sitamarhi,GEN,Ram Kumar Sharma,RLSP,411265,Sitaram Yadav,RJD,263300
